,id,name,kor_name,description,kor_description,citation_uri,positive_examples,child_ids,restrictions
19,/t/dd00001,Baby laughter,아기의 웃음,Laughter that is produced by a baby or infant.,아기나 유아가 만들어 내는 웃음 소리.,,"['youtu.be/2ZqInEYQDOM?start=30&end=40', 'youtu.be/BRtGk2YmdJ0?start=20&end=30', 'youtu.be/m2OBZqJ8qgI?start=90&end=100', 'youtu.be/kykRU_67e94?start=20&end=30', 'youtu.be/RLiHf1zIuXY?start=50&end=60', 'youtu.be/3dh5bfCN4Hs?start=10&end=20']",[],[]
20,/m/07r660_,Giggle,킥킥(웃음),A foolish or nervous laugh.,바보같거나 긴장된 웃음 소리.,http://wordnetweb.princeton.edu/perl/webwn?s=giggle,"['youtu.be/RDAnjeHmW5o?start=30&end=40', 'youtu.be/fvg6SM8hnwM?start=30&end=40', 'youtu.be/K4sqsDcUfGM?start=30&end=40']",[],[]
21,/m/07s04w4,Snicker,낄낄(웃음),A disrespectful laugh.,무례한 웃음 소리.,http://wordnetweb.princeton.edu/perl/webwn?s=snicker,"['youtu.be/0Xsny5M-hyE?start=140&end=150', 'youtu.be/2sDFQiVB67I?start=80&end=90', 'youtu.be/PgiVYe0HbNg?start=290&end=300', 'youtu.be/ZMwa1h1Aa8I?start=30&end=40']",[],[]
22,/m/07sq110,Belly laugh,배꼽 잡는 웃음,Very loud and abrupt laughter that encompasses much of the body.,매우 크고 갑작스럽게 몸의 많은 부분을 사용하며 웃는 소리.,http://wordnetweb.princeton.edu/perl/webwn?s=belly%20laugh,"['youtu.be/og_nfmnT-xA?start=180&end=190', 'youtu.be/NUNcvnesc2I?start=310&end=320', 'youtu.be/sWXpzTZWNAI?start=30&end=40', 'youtu.be/I-XNolOQ1JQ?start=330&end=340', 'youtu.be/h_zv_bxqtAM?start=440&end=450']",[],[]
23,/m/07rgt08,"Chuckle, chortle",빙그레(웃음),Laugh quietly or with restraint.,조용히 또는 자제하여 웃는 소리.,http://wordnetweb.princeton.edu/perl/webwn?s=chuckle,"['youtu.be/C9WWt3dS1I8?start=50&end=60', 'youtu.be/-iq2dAKozlc?start=50&end=60', 'youtu.be/B_6FPEmhH70?start=40&end=50', 'youtu.be/XeKzuoN62QM?start=40&end=50', 'youtu.be/0WOwZJ9G2N8?start=110&end=120']",[],[]
24,/m/0463cq4,"Crying, sobbing",울음 소리,"Sound associated with the shedding of tears in response to an emotional state, arising from slow but erratic inhalation, occasional instances of breath holding and muscular tremor.","감정 상태에 반응하여 눈물을 흘리는 소리와 관련된 소리. 느리지만 불규칙한 들숨, 가끔 숨을 참는 경우 및 근육 떨림에서 발생한다.",http://en.wikipedia.org/wiki/Crying,"['youtu.be/8Y2VGN-QsEs?start=10&end=20', 'youtu.be/kEuZE_uu1rs?start=10&end=20', 'youtu.be/5Fnc7yYDDvM?start=10&end=20', 'youtu.be/rYyKWyIfVpU?start=10&end=20', 'youtu.be/x9vxPUVx40Y?start=30&end=40', 'youtu.be/SfG3IkOprQc?start=60&end=70']","['/t/dd00002', '/m/07qz6j3']",[]
25,/t/dd00002,"Baby cry, infant cry",아기 울음 소리,The sound of a young child crying or bawling.,어린 아이가 울거나 울고있는 소리.,,"['youtu.be/6T2jEKesKXY?start=30&end=40', 'youtu.be/-mvGA8duqKM?start=29&end=39', 'youtu.be/qc8n-R16jqI?start=30&end=40', 'youtu.be/YFK6RwUBpHg?start=10&end=20', 'youtu.be/VbtgXizyof4?start=30&end=40', 'youtu.be/CmXA759VLZo?start=7&end=17', 'youtu.be/qK4ag_CDBq4?start=30&end=40', 'youtu.be/d-1zfgzgBgc?start=14&end=24']",[],[]
26,/m/07qz6j3,Whimper,흐느낌,"A plaintive, whining vocalization with some abrupt changes in loudness.",음량이 급격히 변화하는 처량한 흐느끼는 소리.,http://wordnetweb.princeton.edu/perl/webwn?s=whimper,"['youtu.be/Paa2p-PWR_A?start=110&end=120', 'youtu.be/ym17PNCgwbQ?start=11&end=21', 'youtu.be/DLKDQyjlmMc?start=30&end=40', 'youtu.be/bEah4B4VQwg?start=30&end=40', 'youtu.be/NLoDz8kI6hA?start=22&end=32', 'youtu.be/YCvOvWQjUuw?start=50&end=60', 'youtu.be/dFNG62WLBMk?start=70&end=80']",[],[]
27,/m/07qw_06,"Wail, moan",신음,"A weak or soft emotional vocalization, possibly indicating pain, sadness, or pleasure.","약하거나 부드러운 감정적 발성. 고통, 슬픔 또는 즐거움을 나타낼 수 있다.",http://wordnetweb.princeton.edu/perl/webwn?s=wail,"['youtu.be/1SH36SQZxG4?start=510&end=520', 'youtu.be/sArGQfiV2Ro?start=400&end=410', 'youtu.be/7nZcwE5VxgM?start=470&end=480', 'youtu.be/VCOQOjLdIj0?start=510&end=520']",[],[]
28,/m/07plz5l,Sigh,한숨,An utterance made by exhaling audibly.,들리도록 숨을 내쉬는 소리.,http://wordnetweb.princeton.edu/perl/webwn?s=sigh,"['youtu.be/XOphuM8ZUhM?start=560&end=570', 'youtu.be/giY25pWyJxM?start=140&end=150']",[],[]
29,/m/015lz1,Singing,노래 소리,"Musical sounds produced with the human voice, including sustained tonality, rhythm, and a variety of other vocal techniques.","지속적인 조성, 리듬 및 다양한 다른 보컬 기술을 포함하여 인간의 목소리로 이루어진 음악적인 소리.",http://en.wikipedia.org/wiki/Singing,"['youtu.be/tYsnQUR-Ovg?start=210&end=220', 'youtu.be/qo2MBnTtMrs?start=30&end=40', 'youtu.be/XgPZjCl7Mog?start=110&end=120', 'youtu.be/nJwUDaURmEU?start=160&end=170', 'youtu.be/0ejZ-FIdeOE?start=80&end=90', 'youtu.be/CzoJ3saJ4pw?start=70&end=80', 'youtu.be/GpMPvnxkibA?start=190&end=200']","['/m/0l14jd', '/m/01swy6', '/m/02bk07', '/t/dd00003', '/t/dd00004', '/t/dd00005', '/t/dd00006', '/m/06bxc']",[]
30,/m/0l14jd,Choir,성가대,A musical ensemble of singers.,가수의 음악 앙상블.,http://en.wikipedia.org/wiki/Choir,"['youtu.be/BwSECmEnch0?start=30&end=40', 'youtu.be/7KBnHYkfr88?start=280&end=290', 'youtu.be/T1fzAEVrunY?start=40&end=50', 'youtu.be/jvEf_n4skHM?start=210&end=220', 'youtu.be/dZiS2K2eqhs?start=30&end=40', 'youtu.be/OdhXgzLFed0?start=130&end=140', 'youtu.be/Gx7yso0V26E?start=300&end=310', 'youtu.be/94zsWCi4C6g?start=190&end=200']",[],[]
31,/m/01swy6,Yodeling,요들송,A form of singing that involves repeated and rapid changes of pitch between the low-pitch chest register and the high-pitch head register or falsetto.,낮은 흉성 음역대와 높은 두성 음역대 또는 Falsetto 사이의 음정의 반복적이고 빠른 변화를 포함하는 노래 형태.,http://en.wikipedia.org/wiki/Yodeling,"['youtu.be/2eSbUlbLTKw?start=70&end=80', 'youtu.be/DTzl8RG1oqA?start=70&end=80']",[],[]
32,/m/02bk07,Chant,구호,"The rhythmic speaking or singing of words or sounds, often primarily on one or two main pitches called reciting tones.","단어나 소리를 리드미컬하게 말하거나 노래하는 것으로, 주로 암송음이라고 불리는 한 두 개의 주요 음조를 사용한다.",http://en.wikipedia.org/wiki/Chant,[],['/m/01c194'],[]
33,/m/01c194,Mantra,만트라,A melodic sacred utterance believed to have spiritual powers.,영적인 힘이 있다고 믿어지는 멜로디가 있는 신성한 말.,http://en.wikipedia.org/wiki/Mantra,[],[],[]
34,/t/dd00003,Male singing,남성 노래,Singing produced by an adult human male.,성인 남성이 부르는 노래 소리.,,"['youtu.be/3MyiiJVkmZc?start=30&end=40', 'youtu.be/Cxe11hqO8xM?start=40&end=50', 'youtu.be/zwU8MqFhtLo?start=180&end=190', 'youtu.be/7QYUijb6wEg?start=30&end=40', 'youtu.be/5mvUQdbVvIs?start=30&end=40', 'youtu.be/1Ct9cLEumKQ?start=30&end=40', 'youtu.be/-KN8aM8jlRo?start=30&end=40']",[],[]
35,/t/dd00004,Female singing,여성 노래,Singing produced by an adult human female.,성인 여성이 부르는 노래 소리.,,"['youtu.be/w9a0J7_9zN8?start=30&end=40', 'youtu.be/-7xRJ-Osv1E?start=30&end=40', 'youtu.be/G0wvmTxaLl4?start=30&end=40', 'youtu.be/5j9weh6E9Yc?start=30&end=40', 'youtu.be/-Y77HcFQZRo?start=30&end=40', 'youtu.be/4MLHuuh6Al0?start=30&end=40', 'youtu.be/6_YVfDV_GSA?start=6&end=16', 'youtu.be/0ow_OtEBvRM?start=30&end=40']",[],[]
36,/t/dd00005,Child singing,어린이 노래,Singing produced by a young human whose voice has not yet reached its adult state.,목소리가 아직 성인 상태에 도달하지 못한 어린 아이의 노래 소리.,,"['youtu.be/0aqR4zaYEn4?start=30&end=40', 'youtu.be/RmaUdIhQhsI?start=60&end=70', 'youtu.be/5pIdH6p3kuo?start=30&end=40', 'youtu.be/hnJhbClGpNI?start=90&end=100', 'youtu.be/4d9EfAmGVFs?start=30&end=40', 'youtu.be/77ojcYuZn7A?start=30&end=40', 'youtu.be/B8wfW-vq_Pk?start=60&end=70', 'youtu.be/265WZznzbko?start=30&end=40']",[],[]
37,/t/dd00006,Synthetic singing,합성 노래,"Singing-like sounds produced by artificial means, such as an electronic synthesizer.  Does not include pre-recorded sounds that originate in a human voice.",신디사이저와 같은 인공적인 방법으로 제작된 노래와 같은 소리. 인간의 목소리가 사전 녹음된 소리는 제외.,,"['youtu.be/d6-bQMCz7j0?start=30&end=40', 'youtu.be/-NC5li0b4eY?start=30&end=40']",[],[]
38,/m/06bxc,Rapping,랩,"The sound of ""spoken or chanted rhyming lyrics"", serving the role of a vocal line in music but with normal speech intonation instead of a melodic line.",음악에서 보컬 라인의 역할을 하지만 멜로디 대신 정상적인 음성의 억양을 가지고 있는 말하거나 외치는 리듬 가사의 소리.,http://en.wikipedia.org/wiki/Rapping,"['youtu.be/o0UkYQyz7Go?start=10&end=20', 'youtu.be/TlAoG8vYhZc?start=110&end=120', 'youtu.be/x7RGnBNjxUc?start=40&end=50', 'youtu.be/vUgzSosGFl0?start=100&end=110', 'youtu.be/n75IvFxTnPc?start=500&end=510', 'youtu.be/rQZOndx4yQk?start=220&end=230', 'youtu.be/gAX5Kae75y0?start=30&end=40', 'youtu.be/IDhovk37whw?start=30&end=40']",[],[]
39,/m/02fxyj,Humming,허밍,"A wordless tone produced by forcing the sound to emerge from the nose, often with a melody.",코에서 나는 가사가 없는 소리. 종종 멜로디와 함께 나타난다.,http://en.wikipedia.org/wiki/Humming,"['youtu.be/rDybDMElvEQ?start=30&end=40', 'youtu.be/fDk8UFZFPqQ?start=30&end=40', 'youtu.be/KRb26VscbJ8?start=120&end=130']",[],[]
40,/m/07s2xch,Groan,앓는 소리,An utterance expressing pain or disapproval. Specifically refers to humans.,고통이나 비동의를 표현하는 소리. 특히 인간에게 나타난다.,http://wordnetweb.princeton.edu/perl/webwn?s=groan,"['youtu.be/UfJczyLcB40?start=170&end=180', 'youtu.be/AjQpqRcpG4E?start=30&end=40', 'youtu.be/OHIIpJzP8_8?start=20&end=30', 'youtu.be/Dp0FeEXOdgM?start=260&end=270', 'youtu.be/vL1goz4n82k?start=140&end=150']",[],[]
41,/m/07r4k75,Grunt,끙끙(인간),"A short low gruff noise, resembling the sound made by animals such as pigs. Specifically refers to humans.",돼지와 같은 동물이 내는 소리와 비슷한 짧고 낮은 거친 소음. 특히 인간에게 나타난다.,http://wordnetweb.princeton.edu/perl/webwn?s=grunt,['youtu.be/qt6ffKY0Vhs?start=160&end=170'],[],[]
42,/m/01j423,Yawn,하품,"The sound of a reflex consisting of the simultaneous inhalation of air and the stretching of the eardrums, followed by an exhalation of breath, commonly associated with tiredness. Specifically refers to humans.","공기의 흡입과 고막의 스트레칭으로 구성된 반사 소리, 일반적으로 피곤함과 관련이 있다. 특히 인간에게 나타난다.",http://en.wikipedia.org/wiki/Yawn,"['youtu.be/nKdPjkVUbzc?start=90&end=100', 'youtu.be/C6Dh2wI6yss?start=70&end=80', 'youtu.be/m5UQZ-zHd6I?start=13&end=23']",[],[]
43,/m/01w250,Whistling,휘파람,"High-pitched tone produced by blowing or sucking air through a small opening between the lips. Used to draw attention, as a personal tic, and to reproduce a melody.","입술 사이의 작은 구멍을 통해 공기를 불어 넣거나 흡입하여 발생하는 높은 음조. 관심을 끌기 위해, 개인적인 틱으로서, 그리고 멜로디를 재현하기 위해 사용된다.",http://en.wikipedia.org/wiki/Whistling,"['youtu.be/MJJv-SQVbQY?start=140&end=150', 'youtu.be/snXiUKVgEVI?start=30&end=40', 'youtu.be/7lqma04srnA?start=380&end=390', 'youtu.be/_UahfxFAx0g?start=10&end=20', 'youtu.be/EJr6MusXp-o?start=26&end=36']",['/m/079vc8'],[]
44,/m/079vc8,Wolf-whistling,늑대 휘파람,A two-toned whistle commonly made to show high interest or approval of something or someone (typically sexual).,보통 무언가에 대한 높은 관심이나 찬성을 나타내기 위해 만들어내는 두 톤의 휘파람 소리. (일반적으로 성적인 의미),http://en.wikipedia.org/wiki/Wolf-whistling,"['youtu.be/wE527Sqn0E8?start=12&end=22', 'youtu.be/YykyGidfpfw?start=30&end=40']",[],[]
45,/m/09hlz4,Respiratory sounds,호흡기 소리,"Sounds generated by the movement of air through the respiratory system (nose, mouth, trachea, and lungs).","호흡 시스템(코, 입, 기관 및 폐)을 통해 공기가 이동하면서 발생하는 소리.",http://en.wikipedia.org/wiki/Respiratory_sounds,[],"['/m/0lyf6', '/m/01b_21', '/m/01hsr_', '/m/07ppn3j']",['abstract']
46,/m/0lyf6,Breathing,숨소리,Air being moved in and out of the lungs in order to sustain life.,생명을 유지하기 위해 폐를 드나드는 공기 소리.,http://en.wikipedia.org/wiki/Breathing,"['youtu.be/ncyIS2o9m74?start=30&end=40', 'youtu.be/fBLIOyO67Ro?start=90&end=100', 'youtu.be/YhSBpiBlIec?start=10&end=20', 'youtu.be/e1urSpgRg7M?start=40&end=50', 'youtu.be/XUPDODziWEw?start=80&end=90']","['/m/07mzm6', '/m/01d3sd', '/m/07s0dtb', '/m/07pyy8b', '/m/07q0yl5']",[]
47,/m/07mzm6,Wheeze,쌕쌕거림,"A continuous, coarse, whistling sound produced by obstruction of the respiratory airways during breathing.",호흡 중에 호흡 기도의 장애로 인해 발생하는 지속적이고 거친 휘파람 소리.,http://en.wikipedia.org/wiki/Wheeze,"['youtu.be/NPVIL-WOOM4?start=30&end=40', 'youtu.be/IvfCYhQXLd0?start=3&end=13', 'youtu.be/6J9XeiKqzw0?start=18&end=28', 'youtu.be/SVz7X1gqlcw?start=50&end=60']",[],[]
48,/m/01d3sd,Snoring,코골이,The sound resulting from obstructed respiratory airways during breathing while sleeping.,수면 호흡 중에 호흡이 방해되어 발생하는 소리.,http://en.wikipedia.org/wiki/Snoring,"['youtu.be/mn824q6UoMg?start=140&end=150', 'youtu.be/TiJ-Szo9yHQ?start=20&end=30', 'youtu.be/oFiA12sNPyo?start=20&end=30', 'youtu.be/c5DPrfjcnsw?start=100&end=110', 'youtu.be/9LoDdANZIwg?start=50&end=60', 'youtu.be/3553HVNfiP8?start=30&end=40']",[],[]
49,/m/07s0dtb,Gasp,헉 하는 소리,A short labored intake of breath with the mouth open. Often indicates shock or surprise.,입을 벌린 채 짧은 시간 동안 숨을 들이마시는 소리. 충격 또는 놀라움을 나타내는 경우가 많다.,http://wordnetweb.princeton.edu/perl/webwn?s=gasp,"['youtu.be/4bU0HWzCXMc?start=170&end=180', 'youtu.be/soVRoIbewMM?start=50&end=60', 'youtu.be/EvkxkkJp-v8?start=190&end=200']",[],[]
50,/m/07pyy8b,Pant,헐떡임,"Fast and noisy breathing, often associated with physical exertion.","빠르고 시끄러운 호흡, 종종 육체적인 노동과 관련이 있다.",http://wordnetweb.princeton.edu/perl/webwn?s=pant,"['youtu.be/LCB8rW5cvWk?start=30&end=40', 'youtu.be/gOB0nM0PRTc?start=30&end=40', 'youtu.be/e90rd071P-E?start=20&end=30', 'youtu.be/jRcrVp2LZTo?start=50&end=60', 'youtu.be/Kn-WVGzPVZg?start=20&end=30', 'youtu.be/JWP10M-t0jo?start=110&end=120', 'youtu.be/yOO9UmPZfns?start=460&end=470']",[],[]
51,/m/07q0yl5,Snort,콧방귀,"The sound of a single, hard exhalation through the nose.",코로 단숨에 숨을 내쉬는 소리.,http://wordnetweb.princeton.edu/perl/webwn?s=snort,"['youtu.be/2PXcJCAVf38?start=50&end=60', 'youtu.be/3xvs8X-u8NA?start=140&end=150', 'youtu.be/fSilzq77oTE?start=30&end=40']",[],[]
